0 OPEN 
1345 REACHINIT c9ad002de62e33def33422a94e4c9a80_8afb1b0ac63a4c45fbe581f025eb9201
1390 REACHTARGET 486cbce66331d2bcf65631ed599874a9_b2faf29fd18ae0e937847e9ea30dff10
1435 NODE c9ad002de62e33def33422a94e4c9a80_8afb1b0ac63a4c45fbe581f025eb9201
1518 RULE 433cccb048ba21c7067c9a82da6e3286_c9ad002de62e33def33422a94e4c9a80_8afb1b0ac63a4c45fbe581f025eb9201_ae89473f207b3f9d088001ec43275eac_8afb1b0ac63a4c45fbe581f025eb9201
1561 NODE ae89473f207b3f9d088001ec43275eac_8afb1b0ac63a4c45fbe581f025eb9201
1632 RULE a53a12e87c6fc763bb9ed8bd1188ff98_ae89473f207b3f9d088001ec43275eac_8afb1b0ac63a4c45fbe581f025eb9201_2fb88481be8ae650d5b23e2e2bb9c3ea_8afb1b0ac63a4c45fbe581f025eb9201
1664 NODE 2fb88481be8ae650d5b23e2e2bb9c3ea_8afb1b0ac63a4c45fbe581f025eb9201
1740 RULE d820eb40bb79466f33bf732077f800f2_2fb88481be8ae650d5b23e2e2bb9c3ea_8afb1b0ac63a4c45fbe581f025eb9201_c05d33acbe33c25df4650e78610894c8_8afb1b0ac63a4c45fbe581f025eb9201
1770 NODE c05d33acbe33c25df4650e78610894c8_8afb1b0ac63a4c45fbe581f025eb9201
1829 RULE fcc932f6797bec5c4fa9a0919113472d_c05d33acbe33c25df4650e78610894c8_8afb1b0ac63a4c45fbe581f025eb9201_26e5a6e6d397938efccd096f897967f_8afb1b0ac63a4c45fbe581f025eb9201
1859 NODE 26e5a6e6d397938efccd096f897967f_8afb1b0ac63a4c45fbe581f025eb9201
1916 RULE cea77a2f7339b0ebc29955a3edd3ade3_26e5a6e6d397938efccd096f897967f_8afb1b0ac63a4c45fbe581f025eb9201_1f42c7f73c538a74f07cd74cc3633ea5_8afb1b0ac63a4c45fbe581f025eb9201
1945 NODE 1f42c7f73c538a74f07cd74cc3633ea5_8afb1b0ac63a4c45fbe581f025eb9201
2003 RULE 5c77170dd57aa6fc00c17ee3c7e78ccd_1f42c7f73c538a74f07cd74cc3633ea5_8afb1b0ac63a4c45fbe581f025eb9201_15b0c90a32c79eda41ce89c3f511ebf1_8afb1b0ac63a4c45fbe581f025eb9201
2031 NODE 15b0c90a32c79eda41ce89c3f511ebf1_8afb1b0ac63a4c45fbe581f025eb9201
2095 RULE eda72887d51466ca12ef9fb370a5f983_15b0c90a32c79eda41ce89c3f511ebf1_8afb1b0ac63a4c45fbe581f025eb9201_d69cf79cd6b4cc4d007b1d2077ec54cd_8afb1b0ac63a4c45fbe581f025eb9201
2123 NODE d69cf79cd6b4cc4d007b1d2077ec54cd_8afb1b0ac63a4c45fbe581f025eb9201
2246 RULE 1b3ac4a3e11306e0d82035f93c09b566_d69cf79cd6b4cc4d007b1d2077ec54cd_8afb1b0ac63a4c45fbe581f025eb9201_a6a651dbe3f99b99e7991c99074f800f_8afb1b0ac63a4c45fbe581f025eb9201
2277 NODE a6a651dbe3f99b99e7991c99074f800f_8afb1b0ac63a4c45fbe581f025eb9201
2336 RULE 810e9f9121da2b5da54a7b43a369b33_a6a651dbe3f99b99e7991c99074f800f_8afb1b0ac63a4c45fbe581f025eb9201_7b24aafd8f97f18397ab2e1354da9c58_8afb1b0ac63a4c45fbe581f025eb9201
2366 NODE 7b24aafd8f97f18397ab2e1354da9c58_8afb1b0ac63a4c45fbe581f025eb9201
2425 RULE dbdc342f3d4f7725f91a0be890ef88eb_7b24aafd8f97f18397ab2e1354da9c58_8afb1b0ac63a4c45fbe581f025eb9201_115bfd5eae2b82df9c3885cec4ccb126_8afb1b0ac63a4c45fbe581f025eb9201
2452 NODE 115bfd5eae2b82df9c3885cec4ccb126_8afb1b0ac63a4c45fbe581f025eb9201
2514 RULE 70cc981e905ae18e1c6074578475b6a5_115bfd5eae2b82df9c3885cec4ccb126_8afb1b0ac63a4c45fbe581f025eb9201_36532bc7a1e8df0aa4f4ae700de72440_8afb1b0ac63a4c45fbe581f025eb9201
2546 NODE 36532bc7a1e8df0aa4f4ae700de72440_8afb1b0ac63a4c45fbe581f025eb9201
2602 RULE 433cccb048ba21c7067c9a82da6e3286_36532bc7a1e8df0aa4f4ae700de72440_8afb1b0ac63a4c45fbe581f025eb9201_6110959e8ae2d6117e9f7449fe327d9a_8afb1b0ac63a4c45fbe581f025eb9201
2627 NODE 6110959e8ae2d6117e9f7449fe327d9a_8afb1b0ac63a4c45fbe581f025eb9201
2667 RULE a53a12e87c6fc763bb9ed8bd1188ff98_6110959e8ae2d6117e9f7449fe327d9a_8afb1b0ac63a4c45fbe581f025eb9201_96f48f39e34ae22a83fa540260895230_8afb1b0ac63a4c45fbe581f025eb9201
2687 NODE 96f48f39e34ae22a83fa540260895230_8afb1b0ac63a4c45fbe581f025eb9201
2729 RULE d820eb40bb79466f33bf732077f800f2_96f48f39e34ae22a83fa540260895230_8afb1b0ac63a4c45fbe581f025eb9201_37082e12ba77c507c13fe5361d797c2_8afb1b0ac63a4c45fbe581f025eb9201
2754 NODE 37082e12ba77c507c13fe5361d797c2_8afb1b0ac63a4c45fbe581f025eb9201
2793 RULE fcc932f6797bec5c4fa9a0919113472d_37082e12ba77c507c13fe5361d797c2_8afb1b0ac63a4c45fbe581f025eb9201_e8c8b1783017ffb893867b39cbb91e23_8afb1b0ac63a4c45fbe581f025eb9201
2821 NODE e8c8b1783017ffb893867b39cbb91e23_8afb1b0ac63a4c45fbe581f025eb9201
2861 RULE cea77a2f7339b0ebc29955a3edd3ade3_e8c8b1783017ffb893867b39cbb91e23_8afb1b0ac63a4c45fbe581f025eb9201_b2d5756150b2621fe790ef535ddafcfe_8afb1b0ac63a4c45fbe581f025eb9201
2883 NODE b2d5756150b2621fe790ef535ddafcfe_8afb1b0ac63a4c45fbe581f025eb9201
2922 RULE 5c77170dd57aa6fc00c17ee3c7e78ccd_b2d5756150b2621fe790ef535ddafcfe_8afb1b0ac63a4c45fbe581f025eb9201_3ae1181ee28dea2c5f66fea73ffc4565_8afb1b0ac63a4c45fbe581f025eb9201
2943 NODE 3ae1181ee28dea2c5f66fea73ffc4565_8afb1b0ac63a4c45fbe581f025eb9201
2981 RULE eda72887d51466ca12ef9fb370a5f983_3ae1181ee28dea2c5f66fea73ffc4565_8afb1b0ac63a4c45fbe581f025eb9201_168b042e53a4afd1b7b0aa978b5323eb_8afb1b0ac63a4c45fbe581f025eb9201
3001 NODE 168b042e53a4afd1b7b0aa978b5323eb_8afb1b0ac63a4c45fbe581f025eb9201
3096 RULE 1b3ac4a3e11306e0d82035f93c09b566_168b042e53a4afd1b7b0aa978b5323eb_8afb1b0ac63a4c45fbe581f025eb9201_79eb175daf7266c94c05910566989605_8afb1b0ac63a4c45fbe581f025eb9201
3124 NODE 79eb175daf7266c94c05910566989605_8afb1b0ac63a4c45fbe581f025eb9201
3162 RULE 810e9f9121da2b5da54a7b43a369b33_79eb175daf7266c94c05910566989605_8afb1b0ac63a4c45fbe581f025eb9201_147b3e9c96215e5110eed0594a1b84a9_8afb1b0ac63a4c45fbe581f025eb9201
3182 NODE 147b3e9c96215e5110eed0594a1b84a9_8afb1b0ac63a4c45fbe581f025eb9201
3220 RULE dbdc342f3d4f7725f91a0be890ef88eb_147b3e9c96215e5110eed0594a1b84a9_8afb1b0ac63a4c45fbe581f025eb9201_4a91bf6156c18326f1cb3e5fdcfaecd0_8afb1b0ac63a4c45fbe581f025eb9201
3240 NODE 4a91bf6156c18326f1cb3e5fdcfaecd0_8afb1b0ac63a4c45fbe581f025eb9201
3280 RULE 70cc981e905ae18e1c6074578475b6a5_4a91bf6156c18326f1cb3e5fdcfaecd0_8afb1b0ac63a4c45fbe581f025eb9201_c13404be1f25373e242a86ff37c2679c_8afb1b0ac63a4c45fbe581f025eb9201
3307 NODE c13404be1f25373e242a86ff37c2679c_8afb1b0ac63a4c45fbe581f025eb9201
3346 RULE 433cccb048ba21c7067c9a82da6e3286_c13404be1f25373e242a86ff37c2679c_8afb1b0ac63a4c45fbe581f025eb9201_e50cb83f23a762ea60072f7b4a82ee91_8afb1b0ac63a4c45fbe581f025eb9201
3366 NODE e50cb83f23a762ea60072f7b4a82ee91_8afb1b0ac63a4c45fbe581f025eb9201
3415 RULE a53a12e87c6fc763bb9ed8bd1188ff98_e50cb83f23a762ea60072f7b4a82ee91_8afb1b0ac63a4c45fbe581f025eb9201_e1190687795389b781ea00d26a5c89e0_8afb1b0ac63a4c45fbe581f025eb9201
3436 NODE e1190687795389b781ea00d26a5c89e0_8afb1b0ac63a4c45fbe581f025eb9201
3477 RULE d820eb40bb79466f33bf732077f800f2_e1190687795389b781ea00d26a5c89e0_8afb1b0ac63a4c45fbe581f025eb9201_a326e7607fa7906c0e3d1f59e206a206_8afb1b0ac63a4c45fbe581f025eb9201
3498 NODE a326e7607fa7906c0e3d1f59e206a206_8afb1b0ac63a4c45fbe581f025eb9201
3538 RULE d0ab7024fc8aeef39a9a6d87bc3006c1_a326e7607fa7906c0e3d1f59e206a206_8afb1b0ac63a4c45fbe581f025eb9201_2d7238998a6bc26e1920d79d3397f6b3_8afb1b0ac63a4c45fbe581f025eb9201
3558 NODE 2d7238998a6bc26e1920d79d3397f6b3_8afb1b0ac63a4c45fbe581f025eb9201
3596 RULE cea77a2f7339b0ebc29955a3edd3ade3_2d7238998a6bc26e1920d79d3397f6b3_8afb1b0ac63a4c45fbe581f025eb9201_56731d4e377dd463b5401e8d22fefaf6_8afb1b0ac63a4c45fbe581f025eb9201
3616 NODE 56731d4e377dd463b5401e8d22fefaf6_8afb1b0ac63a4c45fbe581f025eb9201
3664 RULE f85c41138feb6cfd7ae68716c9def5_56731d4e377dd463b5401e8d22fefaf6_8afb1b0ac63a4c45fbe581f025eb9201_cb230541b0365de1c66548a07769e748_8afb1b0ac63a4c45fbe581f025eb9201
3684 NODE cb230541b0365de1c66548a07769e748_8afb1b0ac63a4c45fbe581f025eb9201
3725 RULE a43f556b2e1fb19197607a50588be405_cb230541b0365de1c66548a07769e748_8afb1b0ac63a4c45fbe581f025eb9201_8b8a4c067cbbfd8cdc0a03f4c9fb8c64_8afb1b0ac63a4c45fbe581f025eb9201
3745 NODE 8b8a4c067cbbfd8cdc0a03f4c9fb8c64_8afb1b0ac63a4c45fbe581f025eb9201
3838 RULE 1b3ac4a3e11306e0d82035f93c09b566_8b8a4c067cbbfd8cdc0a03f4c9fb8c64_8afb1b0ac63a4c45fbe581f025eb9201_ded8a53e364a271b6120743067f50eac_8afb1b0ac63a4c45fbe581f025eb9201
3858 NODE ded8a53e364a271b6120743067f50eac_8afb1b0ac63a4c45fbe581f025eb9201
3898 RULE 5c77170dd57aa6fc00c17ee3c7e78ccd_ded8a53e364a271b6120743067f50eac_8afb1b0ac63a4c45fbe581f025eb9201_f37d4f52334694e4a898358c8253d6a3_8afb1b0ac63a4c45fbe581f025eb9201
3919 NODE f37d4f52334694e4a898358c8253d6a3_8afb1b0ac63a4c45fbe581f025eb9201
3958 RULE 8f01e29a73c7121737c90d629a352b5_f37d4f52334694e4a898358c8253d6a3_8afb1b0ac63a4c45fbe581f025eb9201_dbbe7b437ed0cf9f2f1fe3d5f0ab30dd_8afb1b0ac63a4c45fbe581f025eb9201
3987 NODE dbbe7b437ed0cf9f2f1fe3d5f0ab30dd_8afb1b0ac63a4c45fbe581f025eb9201
4092 RULE 1b3ac4a3e11306e0d82035f93c09b566_dbbe7b437ed0cf9f2f1fe3d5f0ab30dd_8afb1b0ac63a4c45fbe581f025eb9201_7d4a4cf7ef0e398942820971b7cfc7e8_8afb1b0ac63a4c45fbe581f025eb9201
4112 NODE 7d4a4cf7ef0e398942820971b7cfc7e8_8afb1b0ac63a4c45fbe581f025eb9201
4157 RULE a709740f8325ab198b771451043077db_7d4a4cf7ef0e398942820971b7cfc7e8_8afb1b0ac63a4c45fbe581f025eb9201_ed38b2fdff0253198047d2d49cfb28a_8afb1b0ac63a4c45fbe581f025eb9201
4181 NODE ed38b2fdff0253198047d2d49cfb28a_8afb1b0ac63a4c45fbe581f025eb9201
4220 RULE 70cc981e905ae18e1c6074578475b6a5_ed38b2fdff0253198047d2d49cfb28a_8afb1b0ac63a4c45fbe581f025eb9201_f99a9fe2a71ff1bf73d8adbb7ed30a5e_8afb1b0ac63a4c45fbe581f025eb9201
4241 NODE f99a9fe2a71ff1bf73d8adbb7ed30a5e_8afb1b0ac63a4c45fbe581f025eb9201
4281 RULE 433cccb048ba21c7067c9a82da6e3286_f99a9fe2a71ff1bf73d8adbb7ed30a5e_8afb1b0ac63a4c45fbe581f025eb9201_48adba4a91dbd0421f41f672d8775b2f_8afb1b0ac63a4c45fbe581f025eb9201
4308 NODE 48adba4a91dbd0421f41f672d8775b2f_8afb1b0ac63a4c45fbe581f025eb9201
