0 OPEN 
1381 REACHINIT 6e3b37463d7f36b2e9c1854bd63e8e2_58c1911eea90f13659ace26e582853fe
1443 REACHTARGET 1814f1005938ca6dae7d9d5495f2e349_b2faf29fd18ae0e937847e9ea30dff10
1456 NODE 6e3b37463d7f36b2e9c1854bd63e8e2_58c1911eea90f13659ace26e582853fe
1544 RULE 433cccb048ba21c7067c9a82da6e3286_6e3b37463d7f36b2e9c1854bd63e8e2_58c1911eea90f13659ace26e582853fe_579e64441727eb2b6bd43427bc8534dd_58c1911eea90f13659ace26e582853fe
1592 NODE 579e64441727eb2b6bd43427bc8534dd_58c1911eea90f13659ace26e582853fe
1645 RULE a53a12e87c6fc763bb9ed8bd1188ff98_579e64441727eb2b6bd43427bc8534dd_58c1911eea90f13659ace26e582853fe_ec3dba35e27e666dda4ee82ffef96524_58c1911eea90f13659ace26e582853fe
1648 NODE ec3dba35e27e666dda4ee82ffef96524_58c1911eea90f13659ace26e582853fe
1695 RULE d820eb40bb79466f33bf732077f800f2_ec3dba35e27e666dda4ee82ffef96524_58c1911eea90f13659ace26e582853fe_6e3a31634a10be31f828bb5e41377d22_58c1911eea90f13659ace26e582853fe
1698 NODE 6e3a31634a10be31f828bb5e41377d22_58c1911eea90f13659ace26e582853fe
1745 RULE fcc932f6797bec5c4fa9a0919113472d_6e3a31634a10be31f828bb5e41377d22_58c1911eea90f13659ace26e582853fe_4d0287fa1a4643917a905cc7b24bcf0d_58c1911eea90f13659ace26e582853fe
1748 NODE 4d0287fa1a4643917a905cc7b24bcf0d_58c1911eea90f13659ace26e582853fe
1796 RULE cea77a2f7339b0ebc29955a3edd3ade3_4d0287fa1a4643917a905cc7b24bcf0d_58c1911eea90f13659ace26e582853fe_3fc5ed158260f7c530c44c11335e3bb9_58c1911eea90f13659ace26e582853fe
1799 NODE 3fc5ed158260f7c530c44c11335e3bb9_58c1911eea90f13659ace26e582853fe
1853 RULE 5c77170dd57aa6fc00c17ee3c7e78ccd_3fc5ed158260f7c530c44c11335e3bb9_58c1911eea90f13659ace26e582853fe_c8018ba987805f290d7477e489db2b00_58c1911eea90f13659ace26e582853fe
1856 NODE c8018ba987805f290d7477e489db2b00_58c1911eea90f13659ace26e582853fe
1902 RULE eda72887d51466ca12ef9fb370a5f983_c8018ba987805f290d7477e489db2b00_58c1911eea90f13659ace26e582853fe_7375ea764544b9357a23161d87c70ce6_58c1911eea90f13659ace26e582853fe
1904 NODE 7375ea764544b9357a23161d87c70ce6_58c1911eea90f13659ace26e582853fe
2015 RULE 1b3ac4a3e11306e0d82035f93c09b566_7375ea764544b9357a23161d87c70ce6_58c1911eea90f13659ace26e582853fe_7b1fb07b2f816403946dfc679aab0d80_58c1911eea90f13659ace26e582853fe
2017 NODE 7b1fb07b2f816403946dfc679aab0d80_58c1911eea90f13659ace26e582853fe
2066 RULE 810e9f9121da2b5da54a7b43a369b33_7b1fb07b2f816403946dfc679aab0d80_58c1911eea90f13659ace26e582853fe_d5f26c9e0541064c12a117350a04f8a9_58c1911eea90f13659ace26e582853fe
2068 NODE d5f26c9e0541064c12a117350a04f8a9_58c1911eea90f13659ace26e582853fe
2117 RULE dbdc342f3d4f7725f91a0be890ef88eb_d5f26c9e0541064c12a117350a04f8a9_58c1911eea90f13659ace26e582853fe_c9a3ac7c883b736e3d0033d64af5c3fd_58c1911eea90f13659ace26e582853fe
